Id,Expected
05.2011,2011-07-01 - 2011-07-31
июль-2011,2011-07-01 - 2011-07-31
июль '11,2011-07-01 - 2011-07-31
до августа 1944 года,2020-04-06
до августа тысяча девятьсот сорок четвертого года,2020-04-06
до августа тысяча четвертого года,2020-04-06
пока не наступил август 1944-го,2020-04-06
до августа-1944,2020-04-06
до августа '44,2020-04-06
до августа 44-го,2020-04-06
до августа 1944 г.,2020-04-06
до авг. 1944 г.,2020-04-06
20.9.1995,2020-04-06
20.09.1995,1995-09-20
20-09-1995,1995-09-20
25 января 2026 года,1995-09-20
25 янв. 2026 года,2026-01-25
25 января 2026 г.,2026-01-25
25 января 2026-го,2026-01-25
25-го января 2026 года,2026-01-25
25-янв 2026,2026-01-25
в ближайшие выходные,2026-01-25
на этих выходных,2020-11-27
на выходных,2020-11-27
в этот уикенд,2020-11-27
в субботу-воскресенье,2020-11-27
через вторник,2020-11-27
через неделю во вторник,2020-11-27
во вторник через неделю,2020-11-27
"во вторник, через неделю",2020-11-27
следующая среда,2020-11-27
в следующую среду,2020-11-27
в среду на следующей неделе,2020-11-27
В следующем июне,2020-11-27
на неделе,2020-11-23 - 2020-11-29
на этой неделе,2020-11-23 - 2020-11-29
за эту неделю,2020-11-23 - 2020-11-29
всю эту неделю,2020-11-23 - 2020-11-29
неделю напролет,2020-11-23 - 2020-11-29
прошлая неделя,2020-11-16 - 2020-11-22
прошлую неделю,2020-11-16 - 2020-11-22
предыдущая неделя,2020-11-16 - 2020-11-22
предыдущей недели,2020-11-16 - 2020-11-22
на прошедшей неделе,2020-11-16 - 2020-11-22
за прошедшую неделю,2020-11-16 - 2020-11-22
на следующей неделе,2020-11-30 - 2020-12-06
всю следующую неделю,2020-11-30 - 2020-12-06
в течение следующей недели,2020-11-30 - 2020-12-06
предстоящая неделя,2020-11-30 - 2020-12-06
за предстоящую неделю,2020-11-30 - 2020-12-06
будущая неделя,2020-11-30 - 2020-12-06
на будущей неделе,2020-11-30 - 2020-12-06
прошлый месяц,2020-11-30 - 2020-12-06
прошлого месяца,2020-10-01 - 2020-10-31
в течение прошлого месяца,2020-10-01 - 2020-10-31
минувший месяц,2020-10-01 - 2020-10-31
за минувший месяц,2020-10-01 - 2020-10-31
в минувший месяц,2020-10-01 - 2020-10-31
предыдущий месяц,2020-10-01 - 2020-10-31
за предыдущий месяц,2020-10-01 - 2020-10-31
в предыдущий месяц,2020-10-01 - 2020-10-31
на протяжении предыдущего месяца,2020-10-01 - 2020-10-31
предшествующий месяц,2020-10-01 - 2020-10-31
первый квартал,2020-Q1
в первом квартале,2020-Q1
в первом квартале этого года,2020-Q1
за первый квартал текущего года,2020-Q1
за первый квартал,2020-Q1
1-й квартал 2020 г.,2020-Q1
1-й квартал 2020-го,2020-Q1
второй квартал 2018 года,2018-Q2
в течение второго квартала 2018 года,2018-Q2
второй квартал две тысячи восемнадцатого года,2018-Q2
на протяжении второго квартала две тысячи восемнадцатого года,2018-Q2
второй квартал 2018 г.,2018-Q2
II квартал 2018 года,2018-Q2
II квартал 2018 г.,2018-Q2
II кв. 2018 года,2018-Q2
II кв. 2018 г.,2018-Q2
2-й квартал 2018 года,2018-Q2
2й квартал 2018 года,2018-Q2
II квартал 2018-го,2018-Q2
II квартал 2018го,2018-Q2
прошлый год,2019
предыдущий год,2019
минувший год,2019
этот год,2020
этому году,2020
за этот год,2020
текущий год,2020
весь текущий год,2020
нынешний год,2020
сего года,2020
уходящий год,2020
уходящего года,2020
истекающий год,2020
следующий год,2021
в следующем году,2021
грядущий год,2021
предстоящий год,2021
за предстоящий год,2021
в прошлую субботу,2020-11-21
в ту субботу,2020-11-21
в субботу на той неделе,2020-11-21
во вторую среду следующего января,2021-01-13
во вторую среду января-2021,2021-01-13
вторая среда января-2021,2021-01-13
вторая среда января 2021 годв,2021-01-13
вторая среда следующего года,2021-01-13
вторая среда января две тысячи двадцать первого года,2021-01-13
последний четверг марта 2016 года,2016-03-31
последний четверг марта 2016 г.,2016-03-31
последний четверг марта-2016,2016-03-31
последний четверг марта 2016,2016-03-31
четыре часа утра,2020-11-27T04:00
в четыре часа утра,2020-11-27T04:00
4 часа утра,2020-11-27T04:00
в четыре утра,2020-11-27T04:00
четыре часа ночи,2020-11-27T04:00
в четыре часа ночи,2020-11-27T04:00
"утром, в четыре часа",2020-11-27T04:00
"ночью, в четыре часа",2020-11-27T04:00
"утром, в 4 часа",2020-11-27T04:00
"ночью, в 4 часа",2020-11-27T04:00
в 04:00,2020-11-27T04:00
2:20 ночи,2020-11-27T02:20
в 2:20,2020-11-27T02:20
в 02:20,2020-11-27T02:20
ночью в 02:20,2020-11-27T02:20
"ночью, в 2:20",2020-11-27T02:20
"ночью, в двадцать минут третьего",2020-11-27T02:20
ночью в два двадцать,2020-11-27T02:20
в два двадцать ночи,2020-11-27T02:20
в двадцать минут третьего ночи,2020-11-27T02:20
в двадцать минут третьего часа ночи,2020-11-27T02:20
в пять часов дня,2020-11-27T17:00
в пять часов вечера,2020-11-27T17:00
5 часов дня,2020-11-27T17:00
5 часов вечера,2020-11-27T17:00
в пять пополудни,2020-11-27T17:00
в 17 часов,2020-11-27T17:00
"В пять тридцать вечера, 27 ноября",2020-11-27T17:30
двадцать седьмого ноября в пять тридцать вечера,2020-11-27T17:30
27 ноября в 5.30 вечера,2020-11-27T17:30
в 17:30 27 ноября,2020-11-27T17:30
27 ноября в полшестого вечера,2020-11-27T17:30
27 ноября в половину шестого,2020-11-27T17:30
27 ноября в 17:30,2020-11-27T17:30
"27.04, 17:30",2020-11-27T17:30
27 ноября в 5:30 вечера,2020-11-27T17:30
до 2 часов дня,2020-11-27T17:30
до двух часов дня,2020-11-27T17:30
не позднее 2 часов дня,2020-11-27T17:30
сегодня не позднее 2 часов дня,2020-11-27T17:30
сегодня до 2х часов дня,2020-11-27T17:30
сегодня до 2-х часов дня,2020-11-27T17:30
до 14:00,2020-11-27T17:30
сегодня до 14:00,2020-11-27T17:30
сегодня до 14.00,2020-11-27T17:30
до 14 часов,2020-11-27T17:30
сегодня до 14 часов,2020-11-27T17:30
в течение ночи на 29 октября 1942 года,2019-12-01 - 2020-02-29
в ночь на 29 октября 1942 года,2019-12-01 - 2020-02-29
неделю назад,2019-12-01 - 2020-02-29
7 дней назад,2019-12-01 - 2020-02-29
в этот день на прошлой неделе,2019-12-01 - 2020-02-29
этим летом,2019-12-01 - 2020-02-29
минувшим летом,2019-12-01 - 2020-02-29
в том году,2019-12-01 - 2020-02-29
Настал тяжелейший 1943 год. В том году началось освобождение Белоруссии от гитлеровцев,2019-12-01 - 2020-02-29
той зимой,2019-12-01 - 2020-02-29
прошлой зимой,2019-12-01 - 2020-02-29
зимой прошлого года,2019-12-01 - 2020-02-29
минувшей зимой,2019-12-01 - 2020-02-29
в ту зиму,2019-12-01 - 2020-02-29
В 1956 году зима в Калининграде выдалась суровой. Той зимой снег выпал рано,1941-12-01 - 1942-02-28
За зиму 1941/42 года,1941-12-01 - 1942-02-28
Зимой 1941-1942 гг.,1941-12-01 - 1942-02-28
на протяжении зимы 1941-42 года,1941-12-01 - 1942-02-28
зима 1941-1942 года,1941-12-01 - 1942-02-28
зимой 1941-1942 годов,1941-12-01 - 1942-02-28
В первую блокадную зиму,1941-12-01 - 1942-02-28
в последний День Победы,2020-05-09
на этот День Победы,2020-05-09
на прошедший день победы,2020-05-09
на майских праздниках в 1943 году,2020-05-09
на майские праздники в 2020-м,2020-05-09
В 70-летний юбилей товарища Сталина,1949-12-21
на 70-летие Верховного Главнокомандующего СССР,1949-12-21
"в 49-м, на день рождения Сталина",1949-12-21
на семидесятую годовщину И. В. Сталина,1949-12-21
последние четыре секунды,2020-11-27T02:30
за четырех секунды до настоящего момента,2020-11-27T02:30
в течение последнего часа,2020-11-27T01:30 - 2020-11-27T02:30
за прошедший час,2020-11-27T01:30 - 2020-11-27T02:30
17-20 апреля,2020-04-17 - 2020-04-20
17-20 апр,2020-04-17 - 2020-04-20
17.04-20.04,2020-04-17 - 2020-04-20
с 17 по 20 апреля,2020-04-17 - 2020-04-20
начиная с 17 и заканчивая 20 апреля,2020-04-17 - 2020-04-20
11:30-1:30,2020-11-27T11:30 - 2020-11-27T13:30
11.30-1.30,2020-11-27T11:30 - 2020-11-27T13:30
11:30-13:30,2020-11-27T11:30 - 2020-11-27T13:30
с 11:30 до 13:30,2020-11-27T11:30 - 2020-11-27T13:30
с одиннадцати тридцати утра до часу тридцати дня,2020-11-27T11:30 - 2020-11-27T13:30
"в дневное время, с одиннадцати тридцати до часа тридцати",2020-11-27T11:30 - 2020-11-27T13:30
с половины двенадцатого до половины первого,2020-11-27T11:30 - 2020-11-27T13:30
с половины двенадцатого до половины первого дня,2020-11-27T11:30 - 2020-11-27T13:30
с половины двенадцатого утра до половины первого,2020-11-27T11:30 - 2020-11-27T13:30
с 18 по 27 января 1942 года,1942-01-18 - 1942-01-27
в период 18–27 января 1942 года,1942-01-18 - 1942-01-27
за 18–27 января 1942 г.,1942-01-18 - 1942-01-27
с 10 мая 1943 по 16 февраля 1944 года,1943-05-10 - 1944-02-16
с 10 мая 1943 года по 16 февраля 1944 года,1943-05-10 - 1944-02-16
10 мая 1943 — 16 февраля 1944,1943-05-10 - 1944-02-16
10 мая 1943 г. — 16 февраля 1944 г.,1943-05-10 - 1944-02-16
10.05.1943-16.02.1944,1943-05-10 - 1944-02-16
с десятого мая 1943 года по 16 февраля 1944 года,1943-05-10 - 1944-02-16
с десятого мая тысяча девятьсот сорок третьего года по шестнадцатое февраля тысяча девятьсот сорок четвертого года,1943-05-10 - 1944-02-16
ровно через неделю после завершения Битвы на Курской дуге,1943-05-10 - 1944-02-16
